Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas1             Pavarde1            8    	5    	5    	2    	2    	7    	8    	8    	10   	10   	5    	
Vardas2             Pavarde2            7    	10   	9    	2    	2    	3    	1    	5    	6    	7    	6    	
Vardas3             Pavarde3            8    	2    	8    	8    	4    	5    	10   	9    	7    	4    	4    	
Vardas4             Pavarde4            10   	8    	5    	1    	5    	6    	9    	7    	8    	5    	4    	
Vardas5             Pavarde5            4    	4    	9    	10   	4    	8    	6    	4    	5    	3    	7    	
Vardas6             Pavarde6            4    	7    	1    	2    	6    	2    	8    	6    	5    	8    	3    	
Vardas7             Pavarde7            3    	1    	3    	3    	4    	6    	9    	8    	4    	7    	5    	
Vardas8             Pavarde8            10   	6    	6    	5    	6    	5    	8    	3    	2    	9    	8    	
Vardas9             Pavarde9            1    	1    	1    	9    	10   	7    	7    	10   	8    	4    	10   	
Vardas10            Pavarde10           6    	6    	1    	6    	3    	6    	6    	3    	7    	3    	2    	
Vardas11            Pavarde11           10   	9    	8    	6    	4    	1    	1    	6    	1    	6    	9    	
Vardas12            Pavarde12           2    	10   	10   	4    	7    	3    	9    	9    	8    	8    	8    	
Vardas13            Pavarde13           1    	6    	7    	8    	10   	4    	10   	5    	7    	6    	7    	
Vardas14            Pavarde14           5    	5    	6    	1    	8    	4    	6    	8    	2    	2    	8    	
Vardas15            Pavarde15           5    	7    	1    	9    	5    	10   	6    	8    	7    	3    	8    	
Vardas16            Pavarde16           2    	5    	8    	10   	5    	1    	9    	3    	7    	3    	5    	
Vardas17            Pavarde17           9    	2    	3    	4    	9    	6    	10   	8    	1    	6    	7    	
Vardas18            Pavarde18           10   	8    	5    	6    	9    	6    	3    	2    	1    	8    	9    	
Vardas19            Pavarde19           9    	8    	10   	6    	3    	8    	2    	2    	4    	5    	4    	
Vardas20            Pavarde20           10   	8    	1    	6    	10   	4    	9    	2    	8    	4    	4    	
Vardas21            Pavarde21           10   	2    	7    	2    	4    	6    	5    	10   	2    	4    	1    	
Vardas22            Pavarde22           6    	7    	9    	8    	6    	9    	4    	2    	8    	4    	5    	
Vardas23            Pavarde23           10   	4    	3    	6    	9    	3    	2    	9    	7    	8    	2    	
Vardas24            Pavarde24           7    	1    	3    	6    	3    	8    	1    	5    	3    	9    	10   	
Vardas25            Pavarde25           3    	7    	7    	8    	2    	6    	3    	7    	4    	7    	7    	
Vardas26            Pavarde26           3    	8    	5    	4    	9    	7    	5    	9    	6    	5    	4    	
Vardas27            Pavarde27           7    	8    	1    	3    	1    	3    	3    	2    	3    	5    	10   	
Vardas28            Pavarde28           7    	4    	3    	7    	1    	4    	2    	10   	7    	8    	10   	
Vardas29            Pavarde29           3    	3    	5    	10   	1    	6    	4    	6    	9    	1    	4    	
Vardas30            Pavarde30           5    	10   	1    	5    	2    	1    	1    	4    	9    	5    	3    	
Vardas31            Pavarde31           1    	5    	7    	9    	1    	3    	3    	3    	7    	9    	3    	
Vardas32            Pavarde32           5    	4    	3    	9    	7    	7    	2    	10   	3    	4    	3    	
Vardas33            Pavarde33           3    	1    	6    	1    	8    	7    	6    	5    	9    	7    	1    	
Vardas34            Pavarde34           3    	5    	2    	10   	7    	1    	10   	6    	3    	1    	9    	
Vardas35            Pavarde35           2    	6    	2    	6    	10   	2    	10   	7    	2    	4    	6    	
Vardas36            Pavarde36           3    	8    	7    	2    	2    	9    	10   	5    	4    	5    	5    	
Vardas37            Pavarde37           6    	5    	1    	1    	2    	10   	9    	7    	2    	4    	5    	
Vardas38            Pavarde38           7    	1    	10   	4    	6    	7    	6    	3    	7    	6    	9    	
Vardas39            Pavarde39           7    	10   	5    	7    	4    	4    	3    	2    	7    	7    	7    	
Vardas40            Pavarde40           7    	6    	6    	1    	3    	9    	7    	8    	7    	2    	9    	
Vardas41            Pavarde41           9    	3    	5    	3    	3    	8    	9    	3    	2    	8    	6    	
Vardas42            Pavarde42           1    	4    	8    	2    	1    	9    	10   	8    	7    	1    	8    	
Vardas43            Pavarde43           7    	2    	9    	8    	5    	4    	2    	3    	6    	2    	6    	
Vardas44            Pavarde44           9    	6    	2    	7    	4    	4    	10   	7    	4    	3    	4    	
Vardas45            Pavarde45           7    	4    	4    	4    	1    	8    	6    	5    	3    	8    	10   	
Vardas46            Pavarde46           3    	2    	2    	8    	2    	6    	10   	5    	7    	5    	5    	
Vardas47            Pavarde47           1    	4    	10   	7    	4    	1    	6    	1    	5    	4    	5    	
Vardas48            Pavarde48           2    	4    	8    	10   	3    	9    	1    	7    	5    	1    	6    	
Vardas49            Pavarde49           7    	10   	4    	1    	7    	1    	5    	10   	8    	3    	3    	
Vardas50            Pavarde50           8    	3    	8    	2    	7    	4    	1    	5    	8    	9    	7    	
Vardas51            Pavarde51           3    	3    	6    	3    	6    	9    	4    	3    	4    	4    	8    	
Vardas52            Pavarde52           1    	9    	10   	9    	2    	1    	4    	9    	10   	8    	2    	
Vardas53            Pavarde53           8    	3    	5    	3    	8    	1    	3    	1    	1    	7    	8    	
Vardas54            Pavarde54           1    	10   	3    	1    	10   	1    	7    	2    	1    	9    	5    	
Vardas55            Pavarde55           3    	9    	6    	9    	1    	4    	9    	9    	7    	7    	10   	
Vardas56            Pavarde56           1    	6    	1    	8    	9    	7    	8    	9    	3    	10   	10   	
Vardas57            Pavarde57           2    	10   	2    	2    	7    	6    	4    	9    	10   	3    	3    	
Vardas58            Pavarde58           7    	5    	6    	1    	3    	10   	3    	10   	4    	5    	4    	
Vardas59            Pavarde59           8    	7    	1    	8    	10   	6    	9    	5    	9    	9    	10   	
Vardas60            Pavarde60           1    	4    	4    	7    	7    	8    	7    	2    	6    	3    	5    	
Vardas61            Pavarde61           10   	8    	8    	6    	1    	6    	4    	7    	1    	8    	5    	
Vardas62            Pavarde62           10   	10   	8    	9    	6    	2    	5    	1    	10   	3    	4    	
Vardas63            Pavarde63           2    	6    	8    	2    	1    	1    	3    	2    	4    	10   	3    	
Vardas64            Pavarde64           1    	9    	9    	2    	8    	10   	4    	3    	5    	7    	8    	
Vardas65            Pavarde65           1    	7    	3    	3    	3    	2    	5    	4    	7    	1    	8    	
Vardas66            Pavarde66           9    	4    	2    	2    	7    	4    	6    	1    	5    	8    	4    	
Vardas67            Pavarde67           4    	10   	2    	3    	10   	4    	7    	9    	6    	7    	4    	
Vardas68            Pavarde68           8    	1    	5    	2    	2    	8    	5    	9    	8    	1    	10   	
Vardas69            Pavarde69           1    	3    	2    	9    	5    	1    	7    	10   	8    	4    	5    	
Vardas70            Pavarde70           8    	7    	4    	7    	3    	10   	7    	8    	4    	10   	4    	
Vardas71            Pavarde71           9    	3    	10   	5    	10   	9    	8    	8    	2    	9    	5    	
Vardas72            Pavarde72           1    	6    	5    	4    	1    	4    	8    	10   	4    	5    	5    	
Vardas73            Pavarde73           3    	6    	4    	8    	9    	7    	2    	8    	2    	8    	8    	
Vardas74            Pavarde74           5    	8    	1    	9    	9    	10   	7    	5    	10   	9    	2    	
Vardas75            Pavarde75           10   	9    	2    	3    	8    	2    	7    	8    	3    	1    	8    	
Vardas76            Pavarde76           1    	3    	10   	7    	3    	5    	10   	7    	5    	9    	9    	
Vardas77            Pavarde77           7    	6    	8    	1    	2    	7    	4    	3    	10   	4    	7    	
Vardas78            Pavarde78           9    	9    	6    	4    	10   	5    	2    	3    	6    	5    	6    	
Vardas79            Pavarde79           2    	3    	8    	9    	1    	4    	6    	1    	9    	9    	7    	
Vardas80            Pavarde80           2    	6    	9    	6    	9    	10   	1    	6    	6    	6    	1    	
Vardas81            Pavarde81           8    	2    	6    	8    	6    	8    	2    	3    	10   	5    	7    	
Vardas82            Pavarde82           7    	5    	10   	7    	8    	10   	10   	6    	5    	7    	5    	
Vardas83            Pavarde83           1    	5    	2    	8    	2    	10   	5    	10   	2    	5    	7    	
Vardas84            Pavarde84           1    	1    	7    	9    	3    	6    	3    	2    	9    	5    	1    	
Vardas85            Pavarde85           8    	4    	8    	1    	2    	4    	2    	1    	6    	8    	3    	
Vardas86            Pavarde86           5    	1    	4    	6    	7    	5    	8    	5    	5    	4    	7    	
Vardas87            Pavarde87           5    	10   	10   	9    	2    	5    	2    	6    	3    	3    	9    	
Vardas88            Pavarde88           3    	9    	3    	2    	2    	7    	4    	1    	5    	1    	10   	
Vardas89            Pavarde89           8    	4    	7    	8    	4    	7    	9    	7    	1    	7    	2    	
Vardas90            Pavarde90           4    	6    	1    	1    	5    	6    	6    	2    	9    	1    	1    	
Vardas91            Pavarde91           6    	8    	6    	3    	4    	6    	3    	3    	2    	1    	8    	
Vardas92            Pavarde92           5    	5    	10   	3    	5    	7    	7    	10   	4    	1    	3    	
Vardas93            Pavarde93           3    	7    	7    	7    	1    	3    	9    	4    	2    	5    	8    	
Vardas94            Pavarde94           8    	10   	6    	5    	6    	4    	10   	9    	8    	7    	3    	
Vardas95            Pavarde95           9    	6    	6    	8    	10   	8    	4    	10   	2    	2    	7    	
Vardas96            Pavarde96           5    	1    	3    	6    	5    	4    	4    	4    	5    	5    	9    	
Vardas97            Pavarde97           2    	8    	10   	8    	10   	8    	3    	9    	5    	7    	8    	
Vardas98            Pavarde98           7    	7    	10   	9    	5    	4    	2    	7    	8    	4    	3    	
Vardas99            Pavarde99           6    	2    	8    	6    	1    	7    	10   	4    	10   	2    	2    	
Vardas100           Pavarde100          8    	5    	8    	5    	8    	5    	3    	4    	7    	1    	4    	
Vardas101           Pavarde101          10   	2    	7    	8    	1    	3    	5    	2    	10   	4    	9    	
Vardas102           Pavarde102          7    	10   	10   	6    	3    	6    	7    	7    	2    	3    	3    	
Vardas103           Pavarde103          2    	9    	1    	8    	1    	1    	5    	1    	7    	10   	1    	
Vardas104           Pavarde104          10   	3    	10   	8    	4    	5    	9    	2    	3    	6    	9    	
Vardas105           Pavarde105          6    	6    	2    	10   	3    	7    	2    	2    	4    	10   	8    	
Vardas106           Pavarde106          7    	5    	7    	8    	7    	2    	4    	3    	1    	1    	2    	
Vardas107           Pavarde107          9    	9    	7    	6    	6    	3    	10   	7    	8    	4    	9    	
Vardas108           Pavarde108          2    	2    	1    	9    	10   	1    	10   	8    	6    	3    	6    	
Vardas109           Pavarde109          4    	7    	2    	6    	5    	2    	6    	1    	8    	7    	5    	
Vardas110           Pavarde110          2    	5    	1    	6    	1    	5    	2    	6    	1    	1    	4    	
Vardas111           Pavarde111          4    	9    	9    	1    	8    	4    	9    	10   	2    	4    	1    	
Vardas112           Pavarde112          5    	1    	8    	4    	8    	4    	7    	9    	7    	4    	4    	
Vardas113           Pavarde113          7    	9    	6    	6    	7    	2    	2    	8    	4    	4    	8    	
Vardas114           Pavarde114          6    	3    	10   	1    	8    	7    	10   	4    	2    	3    	3    	
Vardas115           Pavarde115          6    	3    	1    	9    	5    	2    	6    	9    	6    	3    	8    	
Vardas116           Pavarde116          5    	6    	5    	9    	5    	6    	8    	2    	6    	1    	4    	
Vardas117           Pavarde117          5    	10   	3    	10   	10   	1    	2    	6    	8    	8    	7    	
Vardas118           Pavarde118          5    	3    	5    	2    	4    	2    	1    	3    	3    	9    	4    	
Vardas119           Pavarde119          9    	5    	2    	4    	1    	10   	6    	4    	1    	2    	8    	
Vardas120           Pavarde120          5    	8    	2    	10   	6    	6    	6    	10   	8    	8    	1    	
Vardas121           Pavarde121          1    	2    	4    	4    	5    	6    	5    	10   	2    	8    	3    	
Vardas122           Pavarde122          7    	5    	4    	2    	10   	2    	5    	10   	2    	3    	7    	
Vardas123           Pavarde123          4    	3    	4    	6    	10   	8    	1    	1    	1    	3    	10   	
Vardas124           Pavarde124          6    	7    	2    	5    	7    	5    	8    	9    	10   	7    	9    	
Vardas125           Pavarde125          8    	1    	8    	8    	2    	1    	10   	7    	4    	9    	1    	
Vardas126           Pavarde126          2    	8    	8    	2    	4    	7    	9    	1    	5    	7    	10   	
Vardas127           Pavarde127          8    	4    	9    	5    	2    	8    	10   	4    	10   	5    	10   	
Vardas128           Pavarde128          9    	2    	4    	7    	3    	6    	2    	4    	4    	10   	2    	
Vardas129           Pavarde129          5    	3    	9    	2    	6    	1    	5    	1    	4    	10   	9    	
Vardas130           Pavarde130          2    	10   	9    	3    	2    	7    	10   	10   	5    	3    	6    	
Vardas131           Pavarde131          9    	3    	6    	2    	7    	2    	9    	4    	2    	2    	5    	
Vardas132           Pavarde132          8    	6    	7    	10   	1    	1    	4    	10   	1    	2    	1    	
Vardas133           Pavarde133          5    	7    	1    	10   	5    	6    	5    	8    	4    	7    	10   	
Vardas134           Pavarde134          10   	1    	4    	9    	4    	9    	3    	6    	1    	6    	9    	
Vardas135           Pavarde135          1    	2    	3    	10   	6    	5    	5    	6    	5    	6    	5    	
Vardas136           Pavarde136          8    	6    	10   	10   	10   	5    	4    	2    	6    	3    	4    	
Vardas137           Pavarde137          3    	2    	1    	2    	5    	4    	6    	8    	2    	9    	7    	
Vardas138           Pavarde138          4    	4    	2    	10   	6    	7    	2    	5    	6    	3    	3    	
Vardas139           Pavarde139          7    	5    	9    	8    	6    	6    	3    	10   	5    	8    	2    	
Vardas140           Pavarde140          6    	6    	6    	1    	6    	7    	8    	5    	3    	9    	1    	
Vardas141           Pavarde141          9    	2    	4    	8    	1    	9    	7    	3    	3    	4    	7    	
Vardas142           Pavarde142          6    	7    	4    	6    	1    	2    	1    	6    	5    	5    	8    	
Vardas143           Pavarde143          1    	1    	1    	1    	5    	4    	4    	1    	5    	8    	6    	
Vardas144           Pavarde144          10   	10   	10   	8    	9    	8    	4    	2    	3    	4    	8    	
Vardas145           Pavarde145          3    	9    	9    	7    	6    	9    	8    	2    	9    	6    	2    	
Vardas146           Pavarde146          6    	4    	4    	6    	4    	6    	2    	7    	4    	1    	10   	
Vardas147           Pavarde147          9    	5    	7    	6    	10   	10   	1    	8    	1    	9    	2    	
Vardas148           Pavarde148          6    	6    	1    	1    	6    	1    	2    	4    	7    	7    	1    	
Vardas149           Pavarde149          6    	4    	8    	4    	5    	8    	3    	9    	9    	5    	10   	
Vardas150           Pavarde150          9    	5    	8    	1    	7    	9    	2    	7    	5    	3    	5    	
Vardas151           Pavarde151          10   	2    	6    	9    	9    	7    	2    	4    	3    	8    	6    	
Vardas152           Pavarde152          2    	8    	10   	10   	9    	5    	9    	4    	2    	10   	6    	
Vardas153           Pavarde153          7    	4    	3    	2    	3    	10   	7    	9    	10   	4    	10   	
Vardas154           Pavarde154          6    	7    	7    	10   	4    	3    	7    	5    	9    	2    	2    	
Vardas155           Pavarde155          4    	10   	3    	6    	6    	10   	3    	7    	1    	7    	2    	
Vardas156           Pavarde156          4    	9    	2    	6    	9    	5    	7    	4    	1    	7    	5    	
Vardas157           Pavarde157          8    	2    	5    	5    	8    	6    	8    	6    	5    	2    	10   	
Vardas158           Pavarde158          4    	4    	6    	2    	4    	3    	9    	9    	9    	3    	1    	
Vardas159           Pavarde159          2    	6    	2    	3    	6    	1    	5    	10   	3    	3    	2    	
Vardas160           Pavarde160          8    	4    	9    	1    	10   	3    	10   	7    	7    	3    	8    	
Vardas161           Pavarde161          2    	6    	9    	3    	6    	10   	10   	3    	9    	5    	4    	
Vardas162           Pavarde162          10   	2    	10   	5    	4    	8    	9    	4    	2    	3    	2    	
Vardas163           Pavarde163          5    	6    	7    	3    	1    	8    	2    	5    	6    	2    	3    	
Vardas164           Pavarde164          6    	1    	10   	8    	9    	4    	5    	3    	8    	6    	5    	
Vardas165           Pavarde165          4    	3    	9    	1    	2    	8    	6    	3    	5    	2    	3    	
Vardas166           Pavarde166          9    	1    	4    	3    	3    	8    	6    	9    	5    	9    	1    	
Vardas167           Pavarde167          3    	8    	3    	7    	9    	5    	5    	9    	1    	7    	4    	
Vardas168           Pavarde168          5    	1    	8    	7    	3    	1    	9    	6    	4    	2    	6    	
Vardas169           Pavarde169          5    	6    	8    	6    	3    	4    	3    	4    	4    	1    	6    	
Vardas170           Pavarde170          9    	6    	8    	7    	2    	3    	10   	1    	7    	10   	10   	
Vardas171           Pavarde171          9    	10   	1    	5    	3    	9    	6    	5    	3    	5    	6    	
Vardas172           Pavarde172          10   	4    	10   	3    	5    	6    	5    	5    	4    	1    	9    	
Vardas173           Pavarde173          4    	2    	3    	9    	3    	2    	10   	9    	1    	9    	6    	
Vardas174           Pavarde174          10   	7    	9    	6    	1    	10   	10   	8    	4    	6    	10   	
Vardas175           Pavarde175          10   	9    	1    	5    	5    	6    	9    	6    	9    	10   	9    	
Vardas176           Pavarde176          7    	5    	9    	10   	9    	2    	3    	1    	4    	10   	3    	
Vardas177           Pavarde177          1    	8    	5    	5    	3    	6    	8    	4    	10   	10   	2    	
Vardas178           Pavarde178          4    	5    	2    	5    	6    	5    	8    	2    	9    	9    	1    	
Vardas179           Pavarde179          9    	5    	10   	6    	7    	4    	10   	6    	5    	4    	3    	
Vardas180           Pavarde180          2    	8    	6    	5    	7    	9    	7    	2    	1    	4    	5    	
Vardas181           Pavarde181          3    	5    	10   	7    	8    	1    	2    	2    	10   	6    	10   	
Vardas182           Pavarde182          3    	8    	7    	2    	2    	6    	10   	10   	3    	6    	10   	
Vardas183           Pavarde183          6    	3    	8    	10   	4    	6    	4    	6    	6    	3    	4    	
Vardas184           Pavarde184          9    	7    	1    	9    	10   	6    	2    	6    	8    	4    	2    	
Vardas185           Pavarde185          6    	2    	7    	5    	4    	4    	2    	4    	5    	2    	7    	
Vardas186           Pavarde186          1    	6    	3    	8    	3    	6    	5    	1    	2    	4    	9    	
Vardas187           Pavarde187          4    	3    	2    	5    	4    	4    	10   	2    	6    	5    	9    	
Vardas188           Pavarde188          1    	2    	5    	4    	3    	10   	4    	10   	10   	3    	6    	
Vardas189           Pavarde189          8    	1    	1    	10   	5    	6    	7    	9    	1    	4    	7    	
Vardas190           Pavarde190          3    	1    	5    	3    	1    	8    	5    	10   	8    	4    	4    	
Vardas191           Pavarde191          7    	8    	6    	6    	8    	8    	6    	9    	9    	10   	5    	
Vardas192           Pavarde192          8    	1    	3    	3    	2    	1    	10   	9    	7    	3    	5    	
Vardas193           Pavarde193          4    	1    	4    	5    	4    	4    	2    	7    	1    	1    	6    	
Vardas194           Pavarde194          3    	4    	4    	9    	6    	6    	10   	3    	4    	9    	6    	
Vardas195           Pavarde195          1    	4    	1    	5    	4    	4    	10   	2    	1    	6    	7    	
Vardas196           Pavarde196          4    	9    	6    	3    	6    	1    	10   	8    	1    	5    	3    	
Vardas197           Pavarde197          4    	9    	7    	8    	3    	8    	6    	3    	4    	4    	9    	
Vardas198           Pavarde198          9    	5    	8    	2    	3    	7    	7    	6    	3    	4    	1    	
Vardas199           Pavarde199          10   	6    	9    	4    	1    	7    	9    	3    	9    	8    	8    	
Vardas200           Pavarde200          8    	3    	5    	7    	8    	5    	4    	9    	1    	10   	4    	
Vardas201           Pavarde201          8    	8    	5    	5    	10   	7    	8    	5    	7    	3    	2    	
Vardas202           Pavarde202          6    	8    	10   	6    	1    	1    	1    	2    	7    	10   	7    	
Vardas203           Pavarde203          6    	6    	4    	7    	2    	10   	8    	1    	4    	10   	9    	
Vardas204           Pavarde204          9    	7    	7    	3    	8    	1    	1    	1    	4    	5    	10   	
Vardas205           Pavarde205          2    	4    	3    	5    	10   	1    	2    	2    	2    	10   	6    	
Vardas206           Pavarde206          4    	7    	10   	3    	3    	6    	9    	10   	2    	7    	6    	
Vardas207           Pavarde207          3    	9    	5    	2    	5    	3    	5    	2    	10   	2    	8    	
Vardas208           Pavarde208          9    	7    	5    	6    	9    	7    	7    	10   	1    	1    	5    	
Vardas209           Pavarde209          8    	1    	9    	9    	8    	8    	6    	6    	10   	2    	10   	
Vardas210           Pavarde210          9    	5    	3    	4    	7    	10   	3    	7    	2    	2    	9    	
Vardas211           Pavarde211          9    	9    	7    	6    	7    	9    	9    	3    	10   	2    	6    	
Vardas212           Pavarde212          6    	1    	1    	1    	4    	2    	6    	7    	6    	9    	1    	
Vardas213           Pavarde213          10   	9    	7    	7    	5    	10   	6    	4    	10   	9    	10   	
Vardas214           Pavarde214          5    	6    	5    	2    	3    	10   	1    	8    	4    	10   	2    	
Vardas215           Pavarde215          2    	4    	10   	7    	8    	7    	8    	4    	3    	2    	9    	
Vardas216           Pavarde216          6    	8    	5    	6    	4    	7    	9    	4    	6    	7    	7    	
Vardas217           Pavarde217          10   	7    	5    	5    	5    	7    	2    	2    	10   	1    	1    	
Vardas218           Pavarde218          10   	7    	3    	9    	7    	7    	9    	2    	7    	4    	1    	
Vardas219           Pavarde219          7    	5    	3    	9    	2    	2    	1    	8    	9    	10   	10   	
Vardas220           Pavarde220          1    	2    	3    	6    	6    	2    	8    	4    	10   	7    	6    	
Vardas221           Pavarde221          3    	2    	8    	3    	2    	6    	1    	3    	7    	10   	4    	
Vardas222           Pavarde222          2    	2    	4    	7    	1    	3    	4    	9    	8    	3    	10   	
Vardas223           Pavarde223          10   	3    	6    	8    	9    	9    	5    	2    	4    	5    	6    	
Vardas224           Pavarde224          3    	6    	4    	5    	9    	8    	10   	7    	2    	2    	8    	
Vardas225           Pavarde225          6    	2    	2    	4    	3    	8    	7    	1    	8    	7    	4    	
Vardas226           Pavarde226          10   	7    	3    	8    	6    	5    	8    	6    	3    	4    	7    	
Vardas227           Pavarde227          4    	10   	7    	5    	10   	5    	8    	1    	2    	2    	1    	
Vardas228           Pavarde228          7    	3    	3    	8    	6    	7    	3    	7    	4    	2    	5    	
Vardas229           Pavarde229          6    	4    	8    	8    	3    	2    	8    	3    	8    	8    	8    	
Vardas230           Pavarde230          7    	7    	6    	1    	2    	1    	6    	5    	10   	5    	3    	
